object id,Region,CCG,Site name,Address ,Postcode ,longitude,latitude,certain or not,coordinate system,error
1,East of England,NHS Basildon and Brentwood CCG,Brentwood Centre,"Doddinghurst Road, Pilgrims Hatch, Brentwood",CM15 9NN,0.304934,51.6422421,GEOMETRIC_CENTER,wgs84,
2,East of England,NHS Basildon and Brentwood CCG,Emmanuel Church Hall,"Laindon Road, Billericay",CM12 9LD,0.4168268,51.6175187,GEOMETRIC_CENTER,wgs84,
3,East of England,NHS Basildon and Brentwood CCG,George Hurd Centre,"Audley Way, Basildon",SS14 2FL,0.4603068,51.5729524,GEOMETRIC_CENTER,wgs84,
4,East of England,NHS Basildon and Brentwood CCG,The Nevendon Centre,"Nevendon Road, Wickford",SS12 0QG,0.5152208,51.6018141,GEOMETRIC_CENTER,wgs84,
5,East of England,NHS Bedfordshire CCG,Guru Nanak Gurdwara,"84 Ford End Road, Bedford",MK40 4JX,-0.4855023,52.1310685,ROOFTOP,wgs84,
6,East of England,NHS Bedfordshire CCG,"Leagrave Centre
","Strangers Way, Luton",LU4 9ND,-0.4718458,51.9025459,GEOMETRIC_CENTER,wgs84,
7,East of England,NHS Bedfordshire CCG,Leighton Buzzard Rugby Club ,"Wrights Meadow, leighton Road, Stanbridge, Leighton Buzzard ",LU7 9HR,-0.6149966,51.9079688,GEOMETRIC_CENTER,wgs84,
8,East of England,NHS Bedfordshire CCG,Priory Gardens Surgery,"28-34 Church Street, Dunstable",LU6 3SU,-0.5193369,51.8862631,ROOFTOP,wgs84,
9,East of England,NHS Bedfordshire CCG,Shefford Health Centre,"Robert Lucas Drive, Hitchin Road, Shefford",SG17 5FS,-0.3237512,52.0346979,GEOMETRIC_CENTER,wgs84,
10,East of England,NHS Bedfordshire CCG,Toddington Medical Centre,Luton Road,LU5 6DE,-123.1352967,49.1532574,GEOMETRIC_CENTER,wgs84,
11,East of England,NHS Cambridgeshire and Peterborough CCG,Alconbury Practice ,"School Lane, Alconbury, Huntingdon ",PE28 4EQ,-0.2567827,52.3720253,GEOMETRIC_CENTER,wgs84,
12,East of England,NHS Cambridgeshire and Peterborough CCG,BMC @ Werrington Surgery,"97 Church Street, Werrington",PE4 6QF,-0.2722197,52.6143355,ROOFTOP,wgs84,
13,East of England,NHS Cambridgeshire and Peterborough CCG,Cathedral Medical Centre,"Lynn Road, Ely",CB6 1DN,0.270159,52.4106659,GEOMETRIC_CENTER,wgs84,
14,East of England,NHS Cambridgeshire and Peterborough CCG,Charles Hicks Centre,"75 Ermine Street, Huntingdon",PE29 3EZ,-0.187154,52.3340637,ROOFTOP,wgs84,
