Region,STP_ICS,Centre,Address,Postcode,longitude,latitude,certain or not,coordinate system
East of England,"Bedfordshire, Luton and Milton Keynes",Bedford Heights,"Brickhill Drive, Bedford",MK41 7PH,-0.4623189,52.1529686,GEOMETRIC_CENTER,wgs84
East of England,"Bedfordshire, Luton and Milton Keynes",Biggleswade Community Hospital ​,"Potton Road, Biggleswade",SG18 0EJ,-0.2511507,52.0960947,GEOMETRIC_CENTER,wgs84
East of England,"Bedfordshire, Luton and Milton Keynes",Inspire: Luton Sports Village   ,"Butterfield Green Rd, Luton",LU2 8DD,-0.396294,51.9104106,GEOMETRIC_CENTER,wgs84
East of England,"Bedfordshire, Luton and Milton Keynes",Priory House,"Monks Walk, Chicksands, Shefford",SG17 5TQ,-0.3627915,52.0347917,GEOMETRIC_CENTER,wgs84
East of England,"Bedfordshire, Luton and Milton Keynes",Redgrave Children's Centre,"Redgrave Children's Centre, Luton",LU3 3QN,-0.4493519,51.9196427,ROOFTOP,wgs84
East of England,"Bedfordshire, Luton and Milton Keynes",Saxon Court,"502 Avebury Boulevard, Milton Keynes",MK9 3HS,-0.7556133,52.0388232,ROOFTOP,wgs84
East of England,"Bedfordshire, Luton and Milton Keynes",Watling House,"High Street North, Dunstable",LU6 1LF ,-0.5287791,51.8915963,GEOMETRIC_CENTER,wgs84
East of England,Cambridgeshire and Peterborough,Chesterton Indoor Bowls Club,"Logans Way, Cambridge",CB4 1BL,0.1396137,52.2128335,GEOMETRIC_CENTER,wgs84
East of England,Cambridgeshire and Peterborough,East of England Showground,"Oundle Road, Peterborough",PE2 6XE,-0.3193301,52.5502749,GEOMETRIC_CENTER,wgs84
East of England,Cambridgeshire and Peterborough,Horsefair Supermarket,"Horsefair Shopping Centre, Churchill Road, Wisbech",PE13 1AR,0.161492,52.666735,GEOMETRIC_CENTER,wgs84
East of England,Cambridgeshire and Peterborough,Oak Tree Centre,"2 Oak Drive, Huntingdon",PE29 7HN,-0.1760388,52.3456789,RANGE_INTERPOLATED,wgs84
East of England,Cambridgeshire and Peterborough,The Priory Centre,"Priory Lane, St Neots",PE19 2BH,-0.2705335,52.2283206,GEOMETRIC_CENTER,wgs84
East of England,Cambridgeshire and Peterborough ,Peterborough City Care Centre,"City Care Centre, Thorpe Road, Peterborough ",PE3 6DB ,-0.2586716,52.5744285,ROOFTOP,wgs84
East of England,Cambridgeshire and Peterborough ,Unit 30,"Unit 30, Grafton Centre, Cambridge",CB1 1PS,0.1332753,52.2069728,ROOFTOP,wgs84
East of England,Hertfordshire and West Essex,Avanti Meadows School,"Farnham Road, Bishops Stortford, Hertfordshire",CM23 1JJ,0.1625167,51.8882504,GEOMETRIC_CENTER,wgs84
East of England,Hertfordshire and West Essex,Former Da Vinci Grammar School - Letchworth​,"Old Grammar School, Broadway, Letchworth Garden City",SG6 3PA,-0.2318214,51.9762075,ROOFTOP,wgs84
East of England,Hertfordshire and West Essex,Harlow Sports Centre ,"Second Av, Harlow, Essex ",CM20 3DT,0.1133715,51.7650536,GEOMETRIC_CENTER,wgs84
East of England,Hertfordshire and West Essex,Hemel Hempstead Hospital,"Hillfield Rd, Hemel Hempstead",HP2 4AD,-0.4680296,51.7528305,GEOMETRIC_CENTER,wgs84
East of England,Hertfordshire and West Essex,Murray Hall Community Centre,"106 Borders Lane, Loughton",IG10 3SB,0.0739494,51.6478016,ROOFTOP,wgs84
East of England,Hertfordshire and West Essex,"Roche - WGC,Hexagon Place","Falcon Way, Shire Park, Welwyn Garden City",AL7 1TW,-0.1937467,51.8074627,ROOFTOP,wgs84
East of England,Hertfordshire and West Essex,Watford Town Hall,"Rickmansworth Rd, Watford",WD17 3EW,-0.412219,51.6550704,GEOMETRIC_CENTER,wgs84
East of England,Hertfordshire and West Essex ,"Alban Arena,Civic Centre",St Alban's,AL1 3LD,-0.339436,51.752725,APPROXIMATE,wgs84
East of England,Hertfordshire and West Essex ,Robertson House,"6 Six Hills Way, Stevenage ",SG1 2FQ,-0.2123892,51.8982417,ROOFTOP,wgs84
East of England,Hertfordshire and West Essex ,Ware Priory,"High Street, Ware",SG12 9AL,-0.0318011,51.8110468,GEOMETRIC_CENTER,wgs84
East of England,Mid and South Essex,Alastair Farquhason Centre,"Thurrock Hospital, Long Lane",RM16 2PX,0.3362585,51.4960349,ROOFTOP,wgs84
East of England,Mid and South Essex,Chelmsford Race Course ,Chelmsford, CM3 1QP,-71.3672838,42.5998139,APPROXIMATE,wgs84
East of England,Mid and South Essex,Cliff Pavillion,"Station Road, Westcliff-on-Sea",SS0 7RA,0.6910414,51.5372,GEOMETRIC_CENTER,wgs84
East of England,Mid and South Essex,Runnymede Hall,"Kiln Road, Thundersley, Essex",SS7 1TF,0.5885013,51.5607022,GEOMETRIC_CENTER,wgs84
East of England,Mid and South Essex,The Lodge,"Runwell Chase, Runwell, Wickford",SS11 7XX,0.5426096,51.6279197,GEOMETRIC_CENTER,wgs84
East of England,Mid and South Essex,The Mill Arts & Events Centre,"Bellingham Lane, Rayleigh",SS6 7ED,0.6061906,51.5875563,GEOMETRIC_CENTER,wgs84
East of England,Mid and South Essex,Towngate Theatre,"St. Martins Square, Basildon",SS14 1DL,0.4553877,51.5708462,GEOMETRIC_CENTER,wgs84
East of England,Mid and South Essex,Tyler Ryde,"South Woodham Ferrers, Chelmsford",CM3 5ZT,0.614665,51.6465,APPROXIMATE,wgs84
East of England,Norfolk and Waveney Health & Care Partnership,Connaught Hall,"Station Road, Attleborough",NR17 2AS,1.0219405,52.514221,GEOMETRIC_CENTER,wgs84
East of England,Norfolk and Waveney Health & Care Partnership,Corn Exchange Theatre,"Tuesday Market Place, Kings Lynn",PE30 1JW,0.3940237,52.7564514,GEOMETRIC_CENTER,wgs84
East of England,Norfolk and Waveney Health & Care Partnership,N Walsham Community Centre,"New Road, North Walsham",NR28 9DE,1.391727,52.8204321,GEOMETRIC_CENTER,wgs84
East of England,Norfolk and Waveney Health & Care Partnership,Norwich Foodcourt,"100 Castle Quarter, Norwich",NR1 3JX,1.2963689,52.6273956,ROOFTOP,wgs84
East of England,Norfolk and Waveney Health Care Partnership,Former BrightHouse,19/21 Market Gates Shopping Centre,NR30 2BG,1.728396,52.6078289,GEOMETRIC_CENTER,wgs84
East of England,Norfolk and Waveney Health Care Partnership,Old Laws Court,Old Nelson Street Lowerstoft,NR32 1EQ,1.7555434,52.4783074,GEOMETRIC_CENTER,wgs84
East of England,Norfolk and Waveney Health Care Partnership,Town Hall (Downham Market),Downham Market,PE38 9HS,0.385472,52.606612,APPROXIMATE,wgs84
East of England,Norfolk and Waveny Health Care Partnership,Paddock Road Surgery," 6 Bullock Fair Close, Harleston",IP20 9AR,1.29946,52.4032241,ROOFTOP,wgs84
East of England,Suffolk and North East Essex,(Former) Riverwalk School,"Mayfield Road, Bury St Edmunds",IP33 2PD,0.7213145,52.2288386,GEOMETRIC_CENTER,wgs84
East of England,Suffolk and North East Essex,Clacton Hospital,"Clacton & District Hospital, Tower Road, Clacton-On-Sea",CO15 1LH,1.1485076,51.7855807,GEOMETRIC_CENTER,wgs84
East of England,Suffolk and North East Essex,Colchester Football Club,"Jobserve Community Stadium, United Way Mile End, Colchester",CO4 5UP,0.8968745,51.9233284,GEOMETRIC_CENTER,wgs84
East of England,Suffolk and North East Essex,Former Forrest Heath Offices,College Heath Rd Mildenhall,IP28 7EY,0.5223111,52.3500468,GEOMETRIC_CENTER,wgs84
East of England,Suffolk and North East Essex,Gainsborough Sports Centre,"5 Brazier’s Wood Rd, Ipswich", IP3 0SP,1.1887518,52.0312486,ROOFTOP,wgs84
East of England,Suffolk and North East Essex,Unity Trust Offices,"Park Road, Haverhill",CB9 7YD,0.4179976,52.0891649,GEOMETRIC_CENTER,wgs84
East of England,Suffolk and North East Essex,Walton on Naze Community Centre,"Standley Road Walton on the Naze, Frinton, Essex",CO14 8PZ,1.2744225,51.851989,GEOMETRIC_CENTER,wgs84
London,East Lodon Health & Care Partnership,Chingford Leisure Centre,Chingford Leisure Centre,E4 9EY,-0.0060709,51.6174231,ROOFTOP,wgs84
London,East London Health & Care Partnership,Excel Centre (London Nightingale),"Door N8, Excel traffic office, Sandstone lane",E16 1FR,0.0293193,51.5091932,GEOMETRIC_CENTER,wgs84
London,East London Health & Care Partnership,Liberty Shopping Centre,"Unit 4, Lockwood Walk, Romford  (Former Sports Direct store)",RM1 3RH,0.1833692,51.5775767,ROOFTOP,wgs84
London,East London Health & Care Partnership,Sanofi,"Rainham Road South, Dagenham",RM10 7XS,0.1662577,51.543971,GEOMETRIC_CENTER,wgs84
London,East London Health & Care Partnership,"Westfield Stratford City - old ikea and Dwell retail unit, ","Mountfitchet Road, Olympic Park, East London, ",E20 1EJ,-0.0159001,51.5441976,GEOMETRIC_CENTER,wgs84
London,East London Health & Care Partnership ,King George Hospital,"Barley lane, Goodmayes, London",IG3 8YB,0.11155,51.5694668,GEOMETRIC_CENTER,wgs84
London,North London ,Hornsey Central Neighbourhood Health Centre,"151 Park Road, London ",N8 8JD,-0.1312742,51.5840435,ROOFTOP,wgs84
London,North London Partners in Health & Care,Dugdale Centre,"39 London Road, Enfield",EN2 6DS,-0.0809575,51.6503809,ROOFTOP,wgs84
London,North London Partners In Health & Care,The Francis Crick Institute,"1 Midland Road, London",NW1 1AT,-0.1288322,51.5315552,ROOFTOP,wgs84
London,North London Partners in Health and Care,Business Design Centre,"52 Upper St, The Angel Islington, London",N1 0QH,-0.1059479,51.5354962,ROOFTOP,wgs84
London,North West London ,Network House,"8 Fulton Rd, Wembley, London",HA9 0NU,-0.2788961,51.5606123,ROOFTOP,wgs84
London,North West London Health & Care Partnership,Compass Centre,"Bath Road, Heathrow",TW6 2GW,-0.4542955,51.4700223,GEOMETRIC_CENTER,wgs84
London,North West London Health & Care Partnership,CP House,"97-107 Uxbridge Road, Ealing",W5 5TL,-0.3126769,51.5116482,ROOFTOP,wgs84
London,North West London Health & Care Partnership,ETC Venues,"86 Edgware Rd, Marble Arch, Westminster",W2 2EA,-0.1632461,51.5154744,ROOFTOP,wgs84
London,North West London Health & Care Partnership,Fountain Leisure Centre,"658 Chiswick High Road, Brentford",TW8 0HJ,-0.2848744,51.4910585,ROOFTOP,wgs84
London,North West London Health & Care Partnership,Novotel Conference Centre,"Chablis Suite, Hammersmith, London",W6 8DR,-0.232675,51.4968222,ROOFTOP,wgs84
London,North West London Health & Care Partnership,Old Vinyl Factory,"Blyth Road, Hayes",UB3 1HA,-0.4257339,51.5046123,GEOMETRIC_CENTER,wgs84
